cf_id,contact_id,category_id,subcategory_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date
1610,2109,cat2,subcat2,"Gomez, Bailey and Flores",User-friendly static contingency,16800,37857,successful,411,US,USD,11/1/2020,3/4/2021
2311,1673,cat2,subcat2,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,8/23/2020,3/24/2021
2404,5501,cat2,subcat2,Allen-Curtis,Phased human-resource core,70600,42596,canceled,532,US,USD,9/13/2020,9/17/2021
2588,3229,cat2,subcat2,"Brown, Palmer and Pace",Networked stable workforce,100,1,failed,1,US,USD,1/21/2021,7/11/2021
174,4420,cat2,subcat2,Meza-Rogers,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,11/24/2020,12/26/2021
2824,1638,cat2,subcat2,Carlson Inc,Ergonomic fresh-thinking installation,2100,4640,successful,41,US,USD,12/28/2020,11/24/2021
2427,5256,cat2,subcat2,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100,9134,successful,157,CH,CHF,9/5/2021,12/16/2021
1134,5652,cat2,subcat2,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100,3525,failed,86,CA,CAD,4/16/2020,3/2/2021
611,3717,cat2,subcat2,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600,8517,failed,243,US,USD,11/7/2020,6/16/2021
777,5075,cat2,subcat2,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800,968,failed,13,US,USD,3/14/2020,3/13/2021
805,1243,cat2,subcat2,Carney-Anderson,Digitized 5thgeneration knowledgebase,1000,4257,successful,43,US,USD,12/25/2020,8/29/2021
2159,1544,cat2,subcat2,Sullivan Group,Open-source fresh-thinking policy,1400,14324,successful,165,US,USD,6/1/2021,7/24/2021
894,3025,cat2,subcat2,Fox-Quinn,Enterprise-wide reciprocal success,67800,176398,successful,5880,US,USD,10/14/2020,2/28/2021
1760,3353,cat2,subcat2,Gallegos-Cobb,Object-based directional function,39500,4323,failed,57,AU,AUD,1/21/2021,12/1/2021
1955,5544,cat2,subcat2,"Hill, Martin and Garcia",Sharable scalable core,8400,10729,successful,250,US,USD,8/22/2020,3/1/2021
2635,6147,cat2,subcat2,Robbins and Sons,Future-proofed directional synergy,100,3,failed,1,US,USD,9/16/2020,2/27/2021
614,4529,cat2,subcat2,"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,80500,96735,successful,1697,US,USD,11/3/2020,9/27/2021
1792,6084,cat2,subcat2,Smith-Reid,Optimized actuating toolset,4100,959,failed,15,GB,GBP,11/3/2020,10/17/2021
1204,5342,cat2,subcat2,Allen-Jones,Centralized modular initiative,6300,9935,successful,261,US,USD,7/15/2021,10/12/2021
669,4087,cat2,subcat2,Mason-Smith,Reverse-engineered cohesive migration,84300,26303,failed,454,US,USD,8/4/2021,9/13/2021
2741,4548,cat2,subcat2,Lucas-Mullins,Business-focused dynamic instruction set,8100,1517,failed,29,DK,DKK,5/27/2020,3/20/2021
641,4184,cat2,subcat2,"Chase, Garcia and Johnson",Adaptive intangible database,3500,5037,successful,72,US,USD,5/20/2021,6/21/2021
336,3510,cat2,subcat2,Miller-Irwin,Secured maximized policy,2200,8697,successful,223,US,USD,11/26/2021,12/2/2021
341,5842,cat2,subcat2,"Young, Hart and Ryan",Decentralized demand-driven open system,5700,903,failed,17,US,USD,7/29/2021,9/25/2021
3004,4270,cat2,subcat2,Young PLC,Innovative well-modulated functionalities,98700,131826,successful,2441,US,USD,9/1/2020,5/3/2021
1194,6201,cat2,subcat2,Mcgee Group,Assimilated discrete algorithm,66200,123538,successful,1113,US,USD,6/27/2020,5/4/2021
3176,1791,cat2,subcat2,Jordan-Acosta,Operative uniform hub,173800,198628,successful,2283,US,USD,2/27/2020,2/12/2021
642,3314,cat2,subcat2,Nunez Inc,Customizable intangible capability,70700,68602,failed,1072,US,USD,11/6/2020,7/21/2021
2005,2646,cat2,subcat2,Young LLC,Universal maximized methodology,74100,94631,successful,2013,US,USD,9/12/2021,10/5/2021
2612,2140,cat2,subcat2,Lawrence Group,Automated actuating conglomeration,3700,13755,successful,191,US,USD,4/23/2021,1/26/2022
807,3079,cat2,subcat2,Gray-Davis,Re-contextualized local initiative,5200,8330,successful,139,US,USD,3/12/2021,10/7/2021
2889,3841,cat2,subcat2,Perry PLC,Mandatory uniform matrix,3400,12275,successful,131,US,USD,6/23/2020,5/10/2021
2592,2749,cat2,subcat2,Jones-Martin,Virtual systematic monitoring,8100,14083,successful,454,US,USD,9/21/2020,2/11/2021
1237,5976,cat2,subcat2,Stewart LLC,Secured asymmetric projection,135600,62804,failed,714,US,USD,2/11/2021,5/9/2021
305,4666,cat2,subcat2,Padilla-Porter,Innovative exuding matrix,148400,182302,successful,6286,US,USD,12/31/2020,8/20/2021
2090,1568,cat2,subcat2,"Turner, Young and Collins",Self-enabling clear-thinking framework,153800,60342,failed,575,US,USD,10/28/2020,2/27/2021
3136,4807,cat2,subcat2,Smith-Miller,De-engineered cohesive moderator,7500,6924,failed,62,IT,EUR,4/8/2021,5/19/2021
1883,3455,cat2,subcat2,"Sanchez, Bradley and Flores",Centralized motivating capacity,138700,31123,canceled,528,CH,CHF,1/30/2021,10/19/2021
1898,4465,cat2,subcat2,Marsh-Coleman,Exclusive asymmetric analyzer,177700,180802,successful,1773,US,USD,9/25/2020,3/23/2021
1859,3815,cat2,subcat2,Taylor Inc,Public-key 3rdgeneration system engine,2800,7742,successful,84,US,USD,8/2/2020,5/24/2021
2215,3054,cat2,subcat2,"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,170600,75022,failed,1028,US,USD,12/11/2020,5/26/2021
2470,5869,cat2,subcat2,Anderson Group,Organic maximized database,6300,14089,successful,135,DK,DKK,5/9/2020,5/1/2021
2918,5109,cat2,subcat2,Blair Inc,Configurable bandwidth-monitored throughput,9900,1269,failed,26,CH,CHF,2/5/2021,11/4/2021
304,3650,cat2,subcat2,Johns PLC,Distributed high-level open architecture,6800,14865,successful,244,US,USD,11/1/2020,6/12/2021
1654,4266,cat2,subcat2,Martinez-Juarez,Realigned uniform knowledge user,31200,95364,successful,2725,US,USD,6/7/2021,10/31/2021
913,4922,cat2,subcat2,Clements Group,Assimilated actuating policy,9000,4896,canceled,94,US,USD,2/10/2021,4/8/2021
3145,2642,cat2,subcat2,Rowe-Wong,Robust hybrid budgetary management,700,6654,successful,130,US,USD,7/16/2021,12/17/2021
653,3401,cat2,subcat2,"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,108500,175868,successful,2409,IT,EUR,1/6/2021,10/27/2021
1758,2816,cat2,subcat2,Valencia PLC,Extended asynchronous initiative,3400,6405,successful,160,GB,GBP,5/13/2021,8/21/2021
507,1742,cat2,subcat2,"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,192100,178483,failed,4697,US,USD,4/25/2021,10/10/2021
1016,2442,cat2,subcat2,"Howell, Myers and Olson",Self-enabling mission-critical success,52600,31594,canceled,390,US,USD,4/24/2021,8/5/2021
3182,5734,cat2,subcat2,Murray Ltd,Decentralized 4thgeneration challenge,6000,5438,failed,77,GB,GBP,11/19/2020,10/20/2021
2205,1992,cat2,subcat2,"Cardenas, Thompson and Carey",Configurable full-range emulation,9200,12322,successful,196,IT,EUR,4/10/2021,4/20/2021
2285,6141,cat2,subcat2,Evans-Jones,Switchable methodical superstructure,38500,182036,successful,1785,US,USD,3/15/2021,9/22/2021
1780,1326,cat2,subcat2,Dominguez-Owens,Open-architected systematic intranet,123600,5429,canceled,60,US,USD,7/16/2021,8/17/2021
1069,1592,cat2,subcat2,"Glass, Baker and Jones",Business-focused 24hour access,117000,107622,failed,1121,US,USD,5/24/2021,12/31/2021
2505,3234,cat2,subcat2,Logan-Miranda,Proactive systemic firmware,29600,167005,successful,1518,CA,CAD,11/2/2021,11/10/2021
2782,3238,cat2,subcat2,Mitchell-Lee,Customizable leadingedge model,2200,14420,successful,166,US,USD,7/3/2021,7/22/2021
2464,2578,cat2,subcat2,Shaffer-Mason,Managed bandwidth-monitored system engine,1100,8010,successful,148,US,USD,9/27/2021,11/24/2021
864,1424,cat2,subcat2,Murphy LLC,Customer-focused non-volatile framework,9400,968,failed,10,US,USD,2/21/2021,6/16/2021
988,5685,cat2,subcat2,"Vega, Chan and Carney",Down-sized systematic utilization,7400,10451,successful,138,US,USD,4/18/2021,11/18/2021
1707,3275,cat2,subcat2,Vance-Glover,Progressive coherent secured line,61200,60994,failed,859,CA,CAD,2/27/2021,11/6/2021
415,3607,cat2,subcat2,Welch Inc,Optional optimal website,6600,8276,successful,110,US,USD,10/6/2021,12/18/2021
751,3440,cat2,subcat2,Wallace LLC,Centralized regional function,100,1,failed,1,CH,CHF,6/17/2021,7/16/2021
1698,1368,cat2,subcat2,English-Mccullough,Business-focused discrete software,2600,6987,successful,218,US,USD,5/31/2021,9/19/2021
2139,2987,cat2,subcat2,Vincent PLC,Visionary 24hour analyzer,3200,2950,failed,36,DK,DKK,8/13/2021,12/26/2021
2442,2431,cat2,subcat2,Watson-Douglas,Centralized bandwidth-monitored leverage,9000,11721,successful,183,CA,CAD,3/29/2021,11/27/2021
198,4547,cat2,subcat2,"Valdez, Williams and Meyer",Cross-group heuristic forecast,1500,12009,successful,279,GB,GBP,2/13/2021,12/4/2021
2136,4732,cat2,subcat2,Stewart and Sons,Distributed optimizing protocol,54000,188982,successful,2100,US,USD,2/17/2020,1/7/2021
3200,5126,cat2,subcat2,Dyer Inc,Secured well-modulated system engine,4100,14640,successful,252,US,USD,1/1/2021,4/5/2021
1719,3329,cat2,subcat2,"Hood, Perez and Meadows",Cross-group upward-trending hierarchy,100,1,failed,1,US,USD,4/4/2020,3/11/2021
1372,3826,cat2,subcat2,Mueller-Harmon,Implemented tangible approach,7900,5465,failed,67,US,USD,12/25/2020,12/16/2021
1226,5696,cat2,subcat2,Hogan Group,Versatile bottom-line definition,5600,8746,successful,159,US,USD,5/1/2021,1/18/2022
289,2984,cat2,subcat2,"Mora, Miller and Harper",Stand-alone zero tolerance algorithm,2300,4883,successful,144,US,USD,1/31/2021,6/7/2021
3165,5235,cat2,subcat2,Peterson Ltd,Re-engineered 24hour matrix,14500,159056,successful,1559,US,USD,4/26/2020,2/28/2021
2925,4401,cat2,subcat2,Nunez-King,Phased clear-thinking policy,2200,8501,successful,207,GB,GBP,4/9/2020,3/5/2021
2247,4113,cat2,subcat2,Logan-Curtis,Enhanced optimal ability,170600,114523,failed,4405,US,USD,11/21/2020,1/19/2021
2408,4762,cat2,subcat2,"Chan, Washington and Callahan",Optional zero administration neural-net,7800,3144,failed,92,US,USD,4/12/2021,7/2/2021
2632,3494,cat2,subcat2,Ramirez LLC,Reduced reciprocal focus group,9800,11091,successful,241,US,USD,12/9/2020,5/26/2021
970,5468,cat2,subcat6,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200,3208,failed,44,US,USD,8/13/2021,8/31/2021
1239,6181,cat2,subcat6,Fitzgerald PLC,Realigned user-facing concept,106400,39996,failed,1000,US,USD,6/25/2021,8/8/2021
253,5755,cat2,subcat6,Douglas LLC,Reduced heuristic moratorium,900,9193,successful,164,US,USD,10/6/2021,1/27/2022
393,4181,cat2,subcat6,"Frye, Hunt and Powell",Polarized incremental emulation,10000,2461,failed,37,IT,EUR,5/10/2021,8/3/2021
1090,2277,cat2,subcat6,Parker LLC,Customizable intermediate extranet,137200,88037,failed,1467,US,USD,12/2/2021,1/12/2022
2536,2974,cat2,subcat6,Smith and Sons,Upgradable high-level solution,15800,57157,successful,524,US,USD,2/2/2021,12/15/2021
3039,5066,cat2,subcat6,Palmer Inc,Universal multi-state capability,63200,6041,failed,168,US,USD,4/5/2021,7/5/2021
2685,5773,cat2,subcat6,Ferguson PLC,Public-key intangible superstructure,6300,13213,successful,176,US,USD,10/3/2020,2/19/2021
1401,4263,cat2,subcat6,Richardson Inc,Assimilated fault-tolerant capacity,5000,8907,successful,106,US,USD,2/21/2021,8/15/2021
810,2269,cat2,subcat6,Webb-Smith,Advanced content-based installation,9300,4124,failed,37,US,USD,9/4/2021,11/29/2021
179,2133,cat2,subcat6,"Wang, Nguyen and Horton",Innovative holistic hub,6200,8645,successful,192,US,USD,9/10/2021,11/5/2021
1659,1373,cat2,subcat6,Fox-Williams,Profound system-worthy functionalities,128900,196960,successful,7295,US,USD,12/15/2021,1/13/2022
2182,1979,cat2,subcat6,West-Stevens,Reactive solution-oriented groupware,1200,13513,successful,122,US,USD,3/30/2021,7/15/2021
985,2184,cat2,subcat6,Ramos and Sons,Extended responsive Internet solution,100,1,failed,1,GB,GBP,6/11/2021,6/28/2021
1519,3842,cat2,subcat6,Rodriguez PLC,Grass-roots upward-trending installation,167500,114615,failed,1274,US,USD,1/19/2020,3/14/2021
2004,3606,cat2,subcat6,Bright and Sons,Object-based needs-based info-mediaries,6000,12468,successful,160,US,USD,10/23/2021,11/20/2021
733,5139,cat2,subcat6,"Craig, Ellis and Miller",Persevering 5thgeneration throughput,84500,193101,successful,2414,US,USD,1/11/2021,6/17/2021
2394,6234,cat2,subcat6,Santos Group,Secured dynamic capacity,5600,9508,successful,122,US,USD,12/13/2020,4/30/2021
671,5602,cat2,subcat8,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200,10295,successful,98,US,USD,11/11/2020,11/6/2021
1683,5753,cat2,subcat8,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200,18829,failed,200,US,USD,11/14/2021,1/2/2022
2181,3443,cat2,subcat8,"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900,6430,successful,71,AU,AUD,5/29/2021,8/20/2021
2912,3006,cat2,subcat8,"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200,170623,successful,1917,US,USD,7/9/2021,10/15/2021
2465,5251,cat2,subcat8,Avila-Jones,Implemented discrete secured line,5400,7322,successful,70,US,USD,12/3/2020,11/25/2021
2757,3456,cat2,subcat8,"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200,13632,successful,195,US,USD,9/8/2020,4/16/2021
64,1276,cat2,subcat8,"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500,175573,successful,3376,US,USD,11/13/2020,7/23/2021
625,2260,cat2,subcat8,Rodriguez-Brown,Devolved foreground benchmark,171300,100650,failed,1059,US,USD,1/29/2021,6/20/2021
2915,3567,cat2,subcat8,Hernandez Group,Ergonomic uniform open system,128100,40107,failed,955,DK,DKK,5/16/2020,3/18/2021
1458,2114,cat2,subcat8,"Summers, Gallegos and Stein",Mandatory mobile product,188100,5528,failed,67,US,USD,9/24/2020,7/27/2021
3195,3963,cat2,subcat8,"Calhoun, Rogers and Long",Progressive discrete hub,6600,3012,failed,65,US,USD,4/25/2020,3/22/2021
2691,2969,cat2,subcat8,Morgan-Warren,Face-to-face encompassing info-mediaries,87900,171549,successful,4289,US,USD,12/20/2020,7/30/2021
735,2761,cat2,subcat8,"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700,5328,successful,107,US,USD,2/27/2021,10/2/2021
3168,1302,cat2,subcat8,"Guerrero, Flores and Jenkins",Networked optimal architecture,3400,2809,failed,32,US,USD,1/12/2021,12/22/2021
2545,4328,cat2,subcat8,Harris-Perry,User-centric 6thgeneration attitude,4100,3087,canceled,75,US,USD,3/5/2021,7/26/2021
80,4594,cat2,subcat8,Guzman Group,Ameliorated disintermediate utilization,114300,96777,failed,1257,US,USD,2/10/2021,9/22/2021
116,5810,cat2,subcat8,Little-Marsh,Virtual attitude-oriented migration,8000,2758,failed,25,US,USD,10/7/2021,12/28/2021
2087,2017,cat2,subcat8,Ramirez-Myers,Switchable intangible definition,900,14547,successful,186,US,USD,11/25/2020,10/16/2021
1409,3331,cat2,subcat8,Leblanc-Pineda,Future-proofed upward-trending contingency,2700,1479,failed,25,US,USD,8/13/2021,11/21/2021
764,6089,cat2,subcat8,Cruz Ltd,Exclusive dynamic adapter,114800,12938,canceled,145,CH,CHF,6/26/2020,3/9/2021
1635,2383,cat2,subcat8,"Acosta, Mullins and Morris",Pre-emptive interactive model,97300,62127,failed,941,US,USD,5/28/2021,7/1/2021
1653,1419,cat2,subcat8,Schmidt-Gomez,User-centric impactful projection,5100,2064,failed,83,US,USD,6/2/2021,9/4/2021
3158,4952,cat2,subcat8,Hensley Ltd,Versatile global attitude,6200,10938,successful,296,US,USD,10/28/2020,2/27/2021
1646,4765,cat2,subcat8,"Wilson, Brooks and Clark",Operative well-modulated data-warehouse,146400,152438,successful,1605,US,USD,11/14/2021,12/14/2021
726,2228,cat2,subcat8,"Avila, Ford and Welch",Focused leadingedge matrix,9000,7227,failed,80,GB,GBP,5/24/2020,5/26/2021
2082,2077,cat2,subcat8,"Holt, Bernard and Johnson",Multi-lateral didactic encoding,115600,184086,successful,2218,GB,GBP,1/4/2021,4/11/2021
1807,3012,cat2,subcat8,Harrison-Bridges,Profit-focused exuding moderator,77000,1930,failed,49,GB,GBP,3/4/2021,9/21/2021
1436,6196,cat2,subcat8,Morrison-Henderson,De-engineered disintermediate encoding,100,4,canceled,1,CH,CHF,6/18/2021,11/12/2021
2704,1968,cat2,subcat8,Ritter PLC,Multi-channeled upward-trending application,9500,14408,successful,554,CA,CAD,12/25/2020,7/12/2021
68,3879,cat2,subcat8,Burnett-Mora,Quality-focused 24/7 superstructure,6400,12129,successful,238,GB,GBP,9/6/2020,8/1/2021
1260,1563,cat2,subcat8,Smith-Smith,Total leadingedge neural-net,189000,5916,failed,64,US,USD,3/10/2021,5/26/2021
2929,2632,cat2,subcat8,"Dunn, Moreno and Green",Intuitive object-oriented task-force,1900,2884,successful,96,US,USD,2/23/2021,2/28/2021
255,1334,cat2,subcat8,Robinson Group,Re-contextualized homogeneous flexibility,16200,75955,successful,1101,US,USD,7/3/2020,5/18/2021
842,1639,cat2,subcat8,"Turner, Scott and Gentry",Assimilated regional groupware,5600,2445,failed,58,IT,EUR,3/31/2021,12/4/2021
2392,4020,cat2,subcat8,Gardner Inc,Function-based systematic Graphical User Interface,3700,5028,successful,180,US,USD,7/22/2021,1/3/2022
1699,2790,cat2,subcat8,Meyer-Avila,Multi-tiered discrete support,10000,6100,failed,191,US,USD,12/2/2020,5/28/2021
335,4789,cat2,subcat8,Matthews LLC,Advanced transitional help-desk,3900,8125,successful,198,US,USD,9/5/2020,4/21/2021
2711,1620,cat2,subcat8,Johnson-Pace,Persistent 3rdgeneration moratorium,149600,169586,successful,5139,US,USD,7/10/2021,1/12/2022
1169,5779,cat2,subcat8,Macias Inc,Optimized didactic intranet,8100,6086,failed,94,US,USD,9/2/2020,8/6/2021
342,4533,cat2,subcat8,Jones-Ryan,Vision-oriented uniform instruction set,6700,8917,successful,307,US,USD,3/27/2021,10/9/2021
3061,2222,cat2,subcat8,Collier LLC,Secured well-modulated projection,17100,111502,successful,1467,CA,CAD,9/9/2020,9/5/2021
1336,3928,cat2,subcat8,Sanders LLC,Multi-tiered explicit focus group,150600,127745,failed,1825,US,USD,2/1/2021,1/16/2022
1062,1422,cat2,subcat8,"Christian, Kim and Jimenez",Devolved foreground throughput,134400,155849,successful,1470,US,USD,7/11/2021,9/17/2021
2250,3057,cat2,subcat8,"Thomas, Clay and Mendoza",Multi-channeled reciprocal interface,800,2991,successful,32,US,USD,5/13/2020,3/6/2021
2175,6073,cat2,subcat8,"Taylor, Santiago and Flores",Polarized composite customer loyalty,66600,37823,failed,374,US,USD,10/8/2020,4/11/2021
378,3714,cat2,subcat17,"Jones, Taylor and Moore",Down-sized system-worthy secured line,100,2,failed,1,IT,EUR,10/8/2021,11/3/2021
747,2812,cat2,subcat17,Davis-Michael,Progressive tertiary framework,3900,4776,successful,85,GB,GBP,6/29/2021,8/27/2021
1221,2152,cat2,subcat17,Sandoval Group,Assimilated multi-tasking archive,7100,8716,successful,126,US,USD,8/30/2021,9/21/2021
2836,4161,cat2,subcat17,Garcia Ltd,Secured global success,5600,5476,failed,137,DK,DKK,12/13/2020,4/14/2021
467,3219,cat2,subcat17,"Roberts, Hinton and Williams",Programmable static middleware,35000,177936,successful,3016,US,USD,7/4/2020,3/31/2021
1277,2344,cat2,subcat17,Marquez-Kerr,Automated hybrid orchestration,15800,83267,successful,980,US,USD,4/1/2021,1/1/2022
2663,2093,cat2,subcat17,Lutz Group,Enterprise-wide foreground paradigm,2700,1012,failed,12,IT,EUR,9/7/2020,7/5/2021
